"","range","row","year_site.UID","plot_grouped_global","UID","year","value","time_since_sowing","genotype.id","date","plot_grouped","Filename","Location","platform","avg_Temperature_56","avg_Temperature_28","avg_precipitation_56","avg_precipitation_28","avg_radiation_28","avg_photothermal_28","avg_vpd_28","avg_humidity_28","avg_Temperature_14","avg_precipitation_14","avg_radiation_14","avg_photothermal_14","avg_humidity_14","avg_vpd_14","Row_per_plot"
"3259",2,5,"DSSB008","DSSB008_1_1","DSSB0080020","2020",0.582435338911861,72,"10126",2020-07-08,"152",NA,"Delley","UAV",949.641666666667,522.066666666667,147.8,95.4,7204.45833333333,155010.670833333,18.6478436338493,2079.79166666667,283.425,19.4,3800.66666666666,87128.575,954.958333333334,11.8622956440518,3
"3260",2,5,"DSSB008","DSSB008_1_1","DSSB0080020","2020",0.173501134193441,46,"10126",2020-06-12,"152",NA,"Delley","UAV",806.420833333333,439.045833333333,168.4,69.8,6944.5,129246.379166667,18.2363765790049,1932.58333333333,209.7125,64.8,2870.79166666667,51572.0083333333,1081.08333333333,6.51919545171814,3
"3261",2,5,"DSSB009","DSSB009_1_1","DSSB0090020","2020",0.28709691759562,52,"10145",2020-06-18,"177",NA,"Delley","UAV",813.616666666667,430.475,222,124.8,6326.20833333333,115021.804166667,14.3264316997425,2105.25,205.975,97.6,2521.79166666666,43753.45,1221.83333333333,3.61129164430783,3
"3262",2,5,"DSSB009","DSSB009_1_1","DSSB0090020","2020",0.911321438301144,78,"10145",2020-07-14,"177",NA,"Delley","UAV",987.1,547.441666666667,165.4,72.2,7669.45833333333,171472.570833333,23.0401799991349,1933.875,279.75,18.6,3959.45833333333,90064.35,892.666666666666,13.3739174598931,3
"3263",2,5,"DSSB009","DSSB009_1_1","DSSB0090020","2020",0.612541575708314,58,"10145",2020-06-24,"177",NA,"Delley","UAV",845.266666666667,448.216666666667,204.8,122.4,6426.875,122206.6375,14.4421660891128,2144.33333333333,238.641666666667,76,3403.79166666667,67882.0958333333,1124.83333333333,6.78554798979749,3
"3264",2,5,"DSSB009","DSSB009_1_1","DSSB0090020","2020",0.196782448874718,46,"10145",2020-06-12,"177",NA,"Delley","UAV",806.420833333333,439.045833333333,168.4,69.8,6944.5,129246.379166667,18.2363765790049,1932.58333333333,209.7125,64.8,2870.79166666667,51572.0083333333,1081.08333333333,6.51919545171814,3
"3265",2,5,"DSSB009","DSSB009_1_1","DSSB0090020","2020",0.86741120059718,72,"10145",2020-07-08,"177",NA,"Delley","UAV",949.641666666667,522.066666666667,147.8,95.4,7204.45833333333,155010.670833333,18.6478436338493,2079.79166666667,283.425,19.4,3800.66666666666,87128.575,954.958333333334,11.8622956440518,3
"3266",2,5,"FPSB004","FPSB004_1_1","FPSB0040013","2015",0.838058464447353,90,"10010",2015-07-09,"197","20150709_FPSB0040013_segmentation","Eschikon","FIP",997.504166666667,561.566666666667,217.8,93.8,7423.45833333334,177119.991666667,27.8693021126331,1853.5,332.2875,5,4250,115685.483333333,796.291666666666,20.4333213587618,9
"3267",2,5,"FPSB004","FPSB004_1_1","FPSB0040013","2015",0.370284296585529,68,"10010",2015-06-17,"197","20150617_FPSB0040013_segmentation","Eschikon","FIP",860.770833333333,471.766666666667,362.8,117.4,6911.25,142357.370833333,18.8367440414519,2003.70833333333,265.395833333333,59.4,3470.75,79020.4208333333,1032.29166666667,10.0173275192132,9
"3268",2,5,"FPSB004","FPSB004_1_1","FPSB0040013","2015",0.118181237372776,48,"10010",2015-05-28,"197","20150528_FPSB0040013_segmentation","Eschikon","FIP",689.75,390.104166666667,362.2,237.2,5625.375,98804.2666666667,14.0418768712704,2096.16666666667,168.495833333333,99,2677.75,41668.7708333333,1070.70833333333,5.63565093858151,9
"3269",2,5,"FPSB004","FPSB004_1_1","FPSB0040013","2015",0.219713780680991,61,"10010",2015-06-10,"197","20150610_FPSB0040013_segmentation","Eschikon","FIP",815.4375,434.541666666667,360.4,130.4,6483.70833333334,128057.966666667,17.7906248661681,2008.08333333333,262.583333333333,25,3884.79166666667,87334.6041666667,934.375,12.1537540564953,9
"3270",2,5,"FPSB004","FPSB004_1_1","FPSB0040013","2015",0.0808887538740236,55,"10010",2015-06-04,"197","20150604_FPSB0040013_segmentation","Eschikon","FIP",784.9125,425.6125,336.6,107.4,6687.875,128565.420833333,18.6940939792882,1937.5,220.3875,54.4000000000001,3675.125,70613.8125,944.375,9.84359532793217,9
"3271",2,5,"FPSB004","FPSB004_1_1","FPSB0040013","2015",0.812470117271888,82,"10010",2015-07-01,"197","20150701_FPSB0040013_segmentation","Eschikon","FIP",932.158333333333,515.408333333333,220.2,112.8,7129.125,157642.183333333,21.5940792897586,1971.66666666667,250.0125,53.4,3658.375,78621.7625,939.375,11.5767517705454,9
"3272",2,5,"FPSB007","FPSB007_1_1","FPSB0070020","2017",0.689184899491306,128,"10001",2017-08-18,"259","FPSB0070020_RGB1_20170818_151557_segmentation","Eschikon","FIP",1101.475,537.645833333333,233.4,110.2,5722.125,133800.25,18.2666259266883,2143.33333333333,259.604166666667,51.2,2859.83333333334,65792.3833333333,1075.33333333333,8.76649612455535,9
"3273",2,5,"FPSB007","FPSB007_1_1","FPSB0070020","2017",0.704242284848134,127,"10001",2017-08-17,"259","FPSB0070020_RGB1_20170817_133150_segmentation","Eschikon","FIP",1105.90833333333,535.8875,224.6,112.2,5725.45833333334,132827.4125,17.9468080931423,2150.95833333333,260.308333333333,42.4,2805.66666666666,63686.4916666667,1069.16666666667,8.79820730067091,9
